id;pokemon_name;type;lane;game_date;result;mvp
1;Internal;Georgia Assurance;Rustic;2023-02-21T20:18:10;LOST;YES
2;Buckinghamshire Iran;Pine;e-services bricks-and-clicks;2023-02-22T04:20:03;WIN;YES
3;Oval;IB;neural;2023-02-21T22:51:34;LOST;YES
4;Valley Manager Supervisor;program Representative;encompassing;2023-02-21T18:06:31;LOST;NO
5;Metal systematic;Awesome challenge;teal;2023-02-22T10:28:48;WIN;NO
6;indexing transform;Tasty Generic;Bike;2023-02-21T16:58:59;LOST;NO
7;Practical Supervisor FTP;Corporate Overpass virtual;Clothing;2023-02-21T19:40:00;WIN;NO
8;Idaho e-commerce Producer;invoice;Soft withdrawal;2023-02-22T12:55:48;LOST;YES
9;Leu;Markets Specialist interactive;generating connecting Ohio;2023-02-21T20:30:34;WIN;YES
10;Future Account Movies;application panel Loan;cultivate;2023-02-22T14:36:55;LOST;YES
